,publication_year,stemmed_tokens,NoD,NoS,NoUS,t10 stemmed_tokens,t50 stemmed_tokens,t100 stemmed_tokens,t500 stemmed_tokens,NoUS (t1%),t1% of stemmed_tokens,NoUS (t10%),t10% of stemmed_tokens,NoUS (t20%),t20% of stemmed_tokens,NoUS (t25%),t25% of stemmed_tokens
53,1879,NA,2.0,48.0,21.0,"[[('discoveri', 5), ('weight', 4), ('theoret', 4), ('atom', 3), ('compound', 3), ('element', 3), ('function', 3), ('effect', 3), ('pressur', 3), ('halogen', 2)]]","[[('discoveri', 5), ('weight', 4), ('theoret', 4), ('atom', 3), ('compound', 3), ('element', 3), ('function', 3), ('effect', 3), ('pressur', 3), ('halogen', 2), ('constitu', 2), ('compress', 2), ('thermal', 2), ('great', 2), ('heat', 1), ('format', 1), ('period', 1), ('quantit', 1), ('experi', 1), ('test', 1), ('accuraci', 1)]]","[[('discoveri', 5), ('weight', 4), ('theoret', 4), ('atom', 3), ('compound', 3), ('element', 3), ('function', 3), ('effect', 3), ('pressur', 3), ('halogen', 2), ('constitu', 2), ('compress', 2), ('thermal', 2), ('great', 2), ('heat', 1), ('format', 1), ('period', 1), ('quantit', 1), ('experi', 1), ('test', 1), ('accuraci', 1)]]","[[('discoveri', 5), ('weight', 4), ('theoret', 4), ('atom', 3), ('compound', 3), ('element', 3), ('function', 3), ('effect', 3), ('pressur', 3), ('halogen', 2), ('constitu', 2), ('compress', 2), ('thermal', 2), ('great', 2), ('heat', 1), ('format', 1), ('period', 1), ('quantit', 1), ('experi', 1), ('test', 1), ('accuraci', 1)]]",0.0,,2.0,"[[('discoveri', 5), ('weight', 4)]]",4.0,"[[('discoveri', 5), ('weight', 4), ('theoret', 4), ('atom', 3)]]",5.0,"[[('discoveri', 5), ('weight', 4), ('theoret', 4), ('atom', 3), ('compound', 3)]]"
54,1880,NA,,,,,,,,,,,,,,,
55,1881,NA,,,,,,,,,,,,,,,
56,1882,NA,,,,,,,,,,,,,,,
57,1883,NA,1.0,19.0,11.0,"[[('form', 4), ('liquid', 3), ('temperatur', 3), ('condit', 2), ('chang', 1), ('solid', 1), ('state', 1), ('proof', 1), ('theori', 1), ('object', 1)]]","[[('form', 4), ('liquid', 3), ('temperatur', 3), ('condit', 2), ('chang', 1), ('solid', 1), ('state', 1), ('proof', 1), ('theori', 1), ('object', 1), ('paper', 1)]]","[[('form', 4), ('liquid', 3), ('temperatur', 3), ('condit', 2), ('chang', 1), ('solid', 1), ('state', 1), ('proof', 1), ('theori', 1), ('object', 1), ('paper', 1)]]","[[('form', 4), ('liquid', 3), ('temperatur', 3), ('condit', 2), ('chang', 1), ('solid', 1), ('state', 1), ('proof', 1), ('theori', 1), ('object', 1), ('paper', 1)]]",0.0,,1.0,"[[('form', 4)]]",2.0,"[[('form', 4), ('liquid', 3)]]",3.0,"[[('form', 4), ('liquid', 3), ('temperatur', 3)]]"
58,1884,NA,,,,,,,,,,,,,,,
59,1885,NA,,,,,,,,,,,,,,,
60,1886,NA,1.0,24.0,10.0,"[[('temperatur', 4), ('capac', 3), ('substanc', 3), ('heat', 3), ('vapour', 3), ('higher', 2), ('initi', 2), ('thermal', 2), ('quantiti', 1), ('latent', 1)]]","[[('temperatur', 4), ('capac', 3), ('substanc', 3), ('heat', 3), ('vapour', 3), ('higher', 2), ('initi', 2), ('thermal', 2), ('quantiti', 1), ('latent', 1)]]","[[('temperatur', 4), ('capac', 3), ('substanc', 3), ('heat', 3), ('vapour', 3), ('higher', 2), ('initi', 2), ('thermal', 2), ('quantiti', 1), ('latent', 1)]]","[[('temperatur', 4), ('capac', 3), ('substanc', 3), ('heat', 3), ('vapour', 3), ('higher', 2), ('initi', 2), ('thermal', 2), ('quantiti', 1), ('latent', 1)]]",0.0,,1.0,"[[('temperatur', 4)]]",2.0,"[[('temperatur', 4), ('capac', 3)]]",2.0,"[[('temperatur', 4), ('capac', 3)]]"
61,1887,NA,2.0,41.0,22.0,"[[('apparatus', 5), ('result', 3), ('liquid', 3), ('gas', 3), ('one', 3), ('constant', 3), ('larger', 2), ('form', 2), ('isotherm', 2), ('continu', 2)]]","[[('apparatus', 5), ('result', 3), ('liquid', 3), ('gas', 3), ('one', 3), ('constant', 3), ('larger', 2), ('form', 2), ('isotherm', 2), ('continu', 2), ('pressur', 2), ('layer', 1), ('similar', 1), ('previous', 1), ('method', 1), ('independ', 1), ('weight', 1), ('transform', 1), ('relat', 1), ('volum', 1), ('temperatur', 1), ('substanc', 1)]]","[[('apparatus', 5), ('result', 3), ('liquid', 3), ('gas', 3), ('one', 3), ('constant', 3), ('larger', 2), ('form', 2), ('isotherm', 2), ('continu', 2), ('pressur', 2), ('layer', 1), ('similar', 1), ('previous', 1), ('method', 1), ('independ', 1), ('weight', 1), ('transform', 1), ('relat', 1), ('volum', 1), ('temperatur', 1), ('substanc', 1)]]","[[('apparatus', 5), ('result', 3), ('liquid', 3), ('gas', 3), ('one', 3), ('constant', 3), ('larger', 2), ('form', 2), ('isotherm', 2), ('continu', 2), ('pressur', 2), ('layer', 1), ('similar', 1), ('previous', 1), ('method', 1), ('independ', 1), ('weight', 1), ('transform', 1), ('relat', 1), ('volum', 1), ('temperatur', 1), ('substanc', 1)]]",0.0,,2.0,"[[('apparatus', 5), ('result', 3)]]",4.0,"[[('apparatus', 5), ('result', 3), ('liquid', 3), ('gas', 3)]]",6.0,"[[('apparatus', 5), ('result', 3), ('liquid', 3), ('gas', 3), ('one', 3), ('constant', 3)]]"
62,1888,NA,,,,,,,,,,,,,,,
63,1889,NA,,,,,,,,,,,,,,,
64,1890,NA,2.0,38.0,18.0,"[[('heat', 5), ('specif', 4), ('ternari', 4), ('increas', 3), ('mixtur', 3), ('gase', 2), ('notic', 2), ('alloy', 2), ('unequ', 2), ('proport', 2)]]","[[('heat', 5), ('specif', 4), ('ternari', 4), ('increas', 3), ('mixtur', 3), ('gase', 2), ('notic', 2), ('alloy', 2), ('unequ', 2), ('proport', 2), ('tin', 2), ('constant', 1), ('first', 1), ('air', 1), ('metal', 1), ('densiti', 1), ('lim', 1), ('ite', 1)]]","[[('heat', 5), ('specif', 4), ('ternari', 4), ('increas', 3), ('mixtur', 3), ('gase', 2), ('notic', 2), ('alloy', 2), ('unequ', 2), ('proport', 2), ('tin', 2), ('constant', 1), ('first', 1), ('air', 1), ('metal', 1), ('densiti', 1), ('lim', 1), ('ite', 1)]]","[[('heat', 5), ('specif', 4), ('ternari', 4), ('increas', 3), ('mixtur', 3), ('gase', 2), ('notic', 2), ('alloy', 2), ('unequ', 2), ('proport', 2), ('tin', 2), ('constant', 1), ('first', 1), ('air', 1), ('metal', 1), ('densiti', 1), ('lim', 1), ('ite', 1)]]",0.0,,2.0,"[[('heat', 5), ('specif', 4)]]",4.0,"[[('heat', 5), ('specif', 4), ('ternari', 4), ('increas', 3)]]",4.0,"[[('heat', 5), ('specif', 4), ('ternari', 4), ('increas', 3)]]"
