,publication_year,stemmed_tokens,NoD,NoS,NoUS,t10 stemmed_tokens,t50 stemmed_tokens,t100 stemmed_tokens,t500 stemmed_tokens,NoUS (t1%),t1% of stemmed_tokens,NoUS (t10%),t10% of stemmed_tokens,NoUS (t20%),t20% of stemmed_tokens,NoUS (t25%),t25% of stemmed_tokens
26,1905,NA,1,6,6,"[[('particl', 1), ('radium', 1), ('loss', 1), ('rang', 1), ('various', 1), ('atom', 1)]]","[[('particl', 1), ('radium', 1), ('loss', 1), ('rang', 1), ('various', 1), ('atom', 1)]]","[[('particl', 1), ('radium', 1), ('loss', 1), ('rang', 1), ('various', 1), ('atom', 1)]]","[[('particl', 1), ('radium', 1), ('loss', 1), ('rang', 1), ('various', 1), ('atom', 1)]]",0,,1,"[[('particl', 1)]]",1,"[[('particl', 1)]]",2,"[[('particl', 1), ('radium', 1)]]"
27,1906,NA,,,,,,,,,,,,,,,
28,1907,NA,,,,,,,,,,,,,,,
29,1908,NA,1,24,9,"[[('studi', 5), ('compar', 5), ('fluoresc', 4), ('opportun', 4), ('promis', 2), ('impur', 1), ('inspir', 1), ('interest', 1), ('substanc', 1)]]","[[('studi', 5), ('compar', 5), ('fluoresc', 4), ('opportun', 4), ('promis', 2), ('impur', 1), ('inspir', 1), ('interest', 1), ('substanc', 1)]]","[[('studi', 5), ('compar', 5), ('fluoresc', 4), ('opportun', 4), ('promis', 2), ('impur', 1), ('inspir', 1), ('interest', 1), ('substanc', 1)]]","[[('studi', 5), ('compar', 5), ('fluoresc', 4), ('opportun', 4), ('promis', 2), ('impur', 1), ('inspir', 1), ('interest', 1), ('substanc', 1)]]",0,,1,"[[('studi', 5)]]",2,"[[('studi', 5), ('compar', 5)]]",2,"[[('studi', 5), ('compar', 5)]]"
30,1909,NA,,,,,,,,,,,,,,,
31,1910,NA,,,,,,,,,,,,,,,
32,1911,NA,1,14,6,"[[('secondari', 3), ('puls', 3), ('distribut', 2), ('x', 2), ('electromagnet', 2), ('theori', 2)]]","[[('secondari', 3), ('puls', 3), ('distribut', 2), ('x', 2), ('electromagnet', 2), ('theori', 2)]]","[[('secondari', 3), ('puls', 3), ('distribut', 2), ('x', 2), ('electromagnet', 2), ('theori', 2)]]","[[('secondari', 3), ('puls', 3), ('distribut', 2), ('x', 2), ('electromagnet', 2), ('theori', 2)]]",0,,1,"[[('secondari', 3)]]",1,"[[('secondari', 3)]]",2,"[[('secondari', 3), ('puls', 3)]]"
33,1912,NA,,,,,,,,,,,,,,,
34,1913,NA,2,9,5,"[[('spectra', 3), ('element', 2), ('frequenc', 2), ('particl', 1), ('gase', 1)]]","[[('spectra', 3), ('element', 2), ('frequenc', 2), ('particl', 1), ('gase', 1)]]","[[('spectra', 3), ('element', 2), ('frequenc', 2), ('particl', 1), ('gase', 1)]]","[[('spectra', 3), ('element', 2), ('frequenc', 2), ('particl', 1), ('gase', 1)]]",0,,0,,1,"[[('spectra', 3)]]",1,"[[('spectra', 3)]]"
35,1914,NA,1,23,7,"[[('various', 5), ('compound', 5), ('carbon', 3), ('ionize', 3), ('homogen', 3), ('oxygen', 2), ('x', 2)]]","[[('various', 5), ('compound', 5), ('carbon', 3), ('ionize', 3), ('homogen', 3), ('oxygen', 2), ('x', 2)]]","[[('various', 5), ('compound', 5), ('carbon', 3), ('ionize', 3), ('homogen', 3), ('oxygen', 2), ('x', 2)]]","[[('various', 5), ('compound', 5), ('carbon', 3), ('ionize', 3), ('homogen', 3), ('oxygen', 2), ('x', 2)]]",0,,1,"[[('various', 5)]]",1,"[[('various', 5)]]",2,"[[('various', 5), ('compound', 5)]]"
